Data/Folder/File, TRUE label, CLASSIFIED label
('data/071/000', 'spam') spam
('data/071/245', 'ham') ham
('data/071/246', 'spam') spam
('data/071/247', 'ham') ham
('data/071/248', 'spam') spam
('data/071/249', 'spam') spam
('data/071/250', 'spam') spam
('data/071/251', 'spam') spam
('data/071/252', 'spam') spam
('data/071/253', 'spam') spam
('data/071/254', 'spam') spam
('data/071/255', 'spam') spam
('data/071/256', 'ham') ham
('data/071/257', 'spam') spam
('data/071/258', 'spam') spam
('data/071/259', 'spam') spam
('data/071/260', 'spam') spam
('data/071/261', 'spam') spam
('data/071/262', 'spam') spam
('data/071/263', 'ham') ham
('data/071/264', 'ham') ham
('data/071/265', 'ham') ham
('data/071/266', 'ham') ham
('data/071/267', 'ham') ham
('data/071/268', 'ham') ham
('data/071/269', 'ham') ham
('data/071/270', 'ham') ham
('data/071/271', 'spam') spam
('data/071/272', 'spam') spam
('data/071/273', 'spam') spam
('data/071/274', 'spam') spam
('data/071/275', 'spam') spam
('data/071/276', 'spam') spam
('data/071/277', 'ham') ham
('data/071/278', 'spam') spam
('data/071/279', 'spam') spam
('data/071/280', 'spam') spam
('data/071/281', 'spam') spam
('data/071/282', 'ham') ham
('data/071/283', 'spam') spam
('data/071/284', 'spam') spam
('data/071/285', 'ham') ham
('data/071/286', 'spam') spam
('data/071/287', 'spam') ham
('data/071/288', 'spam') spam
('data/071/289', 'spam') spam
('data/071/290', 'spam') spam
('data/071/291', 'spam') spam
('data/071/292', 'ham') ham
('data/071/293', 'spam') ham
('data/071/294', 'ham') ham
('data/071/295', 'spam') ham
('data/071/296', 'ham') ham
('data/071/297', 'spam') spam
('data/071/298', 'spam') spam
('data/071/299', 'spam') spam
('data/072/000', 'spam') spam
('data/072/001', 'spam') spam
('data/072/002', 'spam') spam
('data/072/003', 'spam') spam
('data/072/004', 'spam') spam
('data/072/005', 'ham') ham
('data/072/006', 'spam') ham
('data/072/007', 'spam') spam
('data/072/008', 'spam') ham
('data/072/009', 'ham') ham
('data/072/010', 'ham') ham
('data/072/011', 'spam') spam
('data/072/012', 'spam') ham
('data/072/013', 'ham') ham
('data/072/014', 'ham') ham
('data/072/015', 'spam') spam
('data/072/016', 'spam') spam
('data/072/017', 'ham') ham
('data/072/018', 'spam') spam
('data/072/019', 'ham') ham
('data/072/020', 'spam') spam
('data/072/021', 'spam') spam
('data/072/022', 'spam') spam
('data/072/023', 'ham') ham
('data/072/024', 'ham') ham
('data/072/025', 'spam') ham
('data/072/026', 'spam') spam
('data/072/027', 'ham') ham
('data/072/028', 'ham') ham
('data/072/029', 'spam') spam
('data/072/030', 'spam') spam
('data/072/031', 'spam') spam
('data/072/032', 'spam') spam
('data/072/033', 'spam') spam
('data/072/034', 'spam') spam
('data/072/035', 'spam') spam
('data/072/036', 'spam') spam
('data/072/037', 'spam') spam
('data/072/038', 'spam') spam
('data/072/039', 'ham') ham
('data/072/040', 'ham') ham
('data/072/041', 'spam') spam
('data/072/042', 'spam') spam
('data/072/043', 'spam') spam
('data/072/044', 'ham') ham
('data/072/045', 'ham') ham
('data/072/046', 'spam') spam
('data/072/047', 'spam') spam
('data/072/048', 'ham') ham
('data/072/049', 'ham') ham
('data/072/050', 'spam') spam
('data/072/051', 'spam') spam
('data/072/052', 'spam') spam
('data/072/053', 'spam') spam
('data/072/054', 'ham') ham
('data/072/055', 'spam') spam
('data/072/056', 'ham') ham
('data/072/057', 'ham') ham
('data/072/058', 'ham') ham
('data/072/059', 'ham') ham
('data/072/060', 'spam') spam
('data/072/061', 'ham') ham
('data/072/062', 'spam') spam
('data/072/063', 'ham') ham
('data/072/064', 'spam') spam
('data/072/065', 'spam') spam
('data/072/066', 'spam') spam
('data/072/067', 'spam') spam
('data/072/068', 'ham') ham
('data/072/069', 'spam') spam
('data/072/070', 'ham') ham
('data/072/071', 'ham') ham
('data/072/072', 'ham') ham
('data/072/073', 'spam') spam
('data/072/074', 'spam') spam
('data/072/075', 'spam') spam
('data/072/076', 'ham') ham
('data/072/077', 'spam') ham
('data/072/078', 'spam') spam
('data/072/079', 'spam') spam
('data/072/080', 'spam') spam
('data/072/081', 'spam') ham
('data/072/082', 'spam') spam
('data/072/083', 'spam') spam
('data/072/084', 'spam') ham
('data/072/085', 'spam') ham
('data/072/086', 'spam') spam
('data/072/087', 'spam') ham
('data/072/088', 'ham') ham
('data/072/089', 'ham') ham
('data/072/090', 'ham') ham
('data/072/091', 'ham') ham
('data/072/092', 'spam') spam
('data/072/093', 'ham') ham
('data/072/094', 'ham') ham
('data/072/095', 'ham') ham
('data/072/096', 'spam') spam
('data/072/097', 'spam') spam
('data/072/098', 'spam') spam
('data/072/099', 'ham') ham
('data/072/100', 'ham') ham
('data/072/101', 'ham') ham
('data/072/102', 'ham') ham
('data/072/103', 'spam') spam
('data/072/104', 'spam') spam
('data/072/105', 'spam') spam
('data/072/106', 'spam') spam
('data/072/107', 'spam') spam
('data/072/108', 'spam') spam
('data/072/109', 'spam') ham
('data/072/110', 'spam') spam
('data/072/111', 'spam') spam
('data/072/112', 'spam') spam
('data/072/113', 'spam') spam
('data/072/114', 'spam') ham
('data/072/115', 'spam') spam
('data/072/116', 'ham') ham
('data/072/117', 'ham') ham
('data/072/118', 'ham') ham
('data/072/119', 'ham') ham
('data/072/120', 'spam') spam
('data/072/121', 'spam') spam
('data/072/122', 'ham') ham
('data/072/123', 'spam') spam
('data/072/124', 'spam') spam
('data/072/125', 'ham') ham
('data/072/126', 'spam') spam
('data/072/127', 'spam') spam
('data/072/128', 'spam') ham
('data/072/129', 'spam') ham
('data/072/130', 'spam') spam
('data/072/131', 'spam') ham
('data/072/132', 'ham') ham
('data/072/133', 'spam') spam
('data/072/134', 'spam') spam
('data/072/135', 'spam') spam
('data/072/136', 'spam') spam
('data/072/137', 'spam') spam
('data/072/138', 'spam') spam
('data/072/139', 'spam') spam
('data/072/140', 'spam') spam
('data/072/141', 'spam') spam
('data/072/142', 'spam') spam
('data/072/143', 'spam') spam
('data/072/144', 'spam') spam
('data/072/145', 'spam') spam
('data/072/146', 'spam') spam
('data/072/147', 'spam') spam
('data/072/148', 'spam') ham
('data/072/149', 'spam') spam
('data/072/150', 'spam') spam
('data/072/151', 'spam') spam
('data/072/152', 'spam') ham
('data/072/153', 'spam') ham
('data/072/154', 'ham') ham
('data/072/155', 'ham') ham
('data/072/156', 'spam') spam
('data/072/157', 'spam') spam
('data/072/158', 'spam') spam
('data/072/159', 'spam') spam
('data/072/160', 'spam') spam
('data/072/161', 'spam') spam
('data/072/162', 'spam') ham
('data/072/163', 'spam') spam
('data/072/164', 'spam') spam
('data/072/165', 'spam') spam
('data/072/166', 'spam') spam
('data/072/167', 'spam') spam
('data/072/168', 'spam') spam
('data/072/169', 'spam') spam
('data/072/170', 'spam') spam
('data/072/171', 'spam') spam
('data/072/172', 'spam') spam
('data/072/173', 'spam') ham
('data/072/174', 'spam') spam
('data/072/175', 'ham') ham
('data/072/176', 'spam') spam
('data/072/177', 'ham') ham
('data/072/178', 'spam') spam
('data/072/179', 'ham') ham
('data/072/180', 'ham') ham
('data/072/181', 'ham') ham
('data/072/182', 'spam') ham
('data/072/183', 'spam') spam
('data/072/184', 'ham') ham
('data/072/185', 'ham') ham
('data/072/186', 'spam') spam
('data/072/187', 'ham') ham
('data/072/188', 'spam') spam
('data/072/189', 'spam') spam
('data/072/190', 'spam') spam
('data/072/191', 'spam') spam
('data/072/192', 'ham') ham
('data/072/193', 'ham') ham
('data/072/194', 'spam') spam
('data/072/195', 'spam') spam
('data/072/196', 'spam') spam
('data/072/197', 'spam') spam
('data/072/198', 'spam') spam
('data/072/199', 'ham') ham
('data/072/200', 'ham') ham
('data/072/201', 'ham') ham
('data/072/202', 'ham') ham
('data/072/203', 'spam') spam
('data/072/204', 'spam') spam
('data/072/205', 'ham') ham
('data/072/206', 'ham') ham
('data/072/207', 'ham') ham
('data/072/208', 'ham') ham
('data/072/209', 'spam') spam
('data/072/210', 'ham') ham
('data/072/211', 'spam') spam
('data/072/212', 'ham') ham
('data/072/213', 'spam') ham
('data/072/214', 'ham') ham
('data/072/215', 'spam') ham
('data/072/216', 'ham') ham
('data/072/217', 'spam') spam
('data/072/218', 'ham') ham
('data/072/219', 'spam') spam
('data/072/220', 'spam') spam
('data/072/221', 'spam') ham
('data/072/222', 'spam') ham
('data/072/223', 'spam') spam
('data/072/224', 'spam') spam
('data/072/225', 'spam') spam
('data/072/226', 'spam') spam
('data/072/227', 'spam') spam
('data/072/228', 'spam') spam
('data/072/229', 'spam') spam
('data/072/230', 'spam') spam
('data/072/231', 'spam') spam
('data/072/232', 'spam') spam
('data/072/233', 'spam') spam
('data/072/234', 'spam') ham
('data/072/235', 'spam') spam
('data/072/236', 'spam') spam
('data/072/237', 'spam') spam
('data/072/238', 'spam') spam
('data/072/239', 'spam') spam
('data/072/240', 'ham') ham
('data/072/241', 'spam') ham
('data/072/242', 'spam') spam
('data/072/243', 'spam') spam
('data/072/244', 'ham') ham
('data/072/245', 'ham') ham
('data/072/246', 'spam') spam
('data/072/247', 'spam') spam
('data/072/248', 'spam') spam
('data/072/249', 'spam') spam
('data/072/250', 'spam') spam
('data/072/251', 'spam') spam
('data/072/252', 'spam') spam
('data/072/253', 'spam') spam
('data/072/254', 'spam') spam
('data/072/255', 'spam') spam
('data/072/256', 'spam') spam
('data/072/257', 'ham') ham
('data/072/258', 'spam') spam
('data/072/259', 'spam') spam
('data/072/260', 'spam') ham
('data/072/261', 'ham') ham
('data/072/262', 'ham') ham
('data/072/263', 'spam') spam
('data/072/264', 'spam') spam
('data/072/265', 'ham') ham
('data/072/266', 'spam') spam
('data/072/267', 'ham') ham
('data/072/268', 'ham') ham
('data/072/269', 'ham') ham
('data/072/270', 'ham') ham
('data/072/271', 'ham') ham
('data/072/272', 'ham') ham
('data/072/273', 'ham') ham
('data/072/274', 'spam') spam
('data/072/275', 'spam') ham
('data/072/276', 'ham') ham
('data/072/277', 'spam') spam
('data/072/278', 'spam') spam
('data/072/279', 'spam') spam
('data/072/280', 'spam') spam
('data/072/281', 'ham') ham
('data/072/282', 'ham') ham
('data/072/283', 'ham') ham
('data/072/284', 'ham') ham
('data/072/285', 'ham') ham
('data/072/286', 'ham') ham
('data/072/287', 'spam') spam
('data/072/288', 'spam') spam
('data/072/289', 'ham') ham
('data/072/290', 'spam') spam
('data/072/291', 'ham') ham
('data/072/292', 'ham') ham
('data/072/293', 'spam') ham
('data/072/294', 'spam') spam
('data/072/295', 'spam') spam
('data/072/296', 'spam') spam
('data/072/297', 'spam') spam
('data/072/298', 'ham') ham
('data/072/299', 'ham') ham
('data/073/000', 'ham') ham
('data/073/001', 'ham') ham
('data/073/002', 'ham') ham
('data/073/003', 'ham') ham
('data/073/004', 'ham') ham
('data/073/005', 'ham') ham
('data/073/006', 'ham') ham
('data/073/007', 'ham') spam
('data/073/008', 'spam') spam
('data/073/009', 'spam') spam
('data/073/010', 'spam') spam
('data/073/011', 'spam') spam
('data/073/012', 'spam') spam
('data/073/013', 'spam') ham
('data/073/014', 'spam') spam
('data/073/015', 'ham') ham
('data/073/016', 'ham') ham
('data/073/017', 'ham') ham
('data/073/018', 'ham') ham
('data/073/019', 'ham') ham
('data/073/020', 'ham') ham
('data/073/021', 'ham') ham
('data/073/022', 'ham') ham
('data/073/023', 'ham') ham
('data/073/024', 'ham') ham
('data/073/025', 'ham') ham
('data/073/026', 'spam') ham
('data/073/027', 'ham') ham
('data/073/028', 'ham') ham
('data/073/029', 'ham') ham
('data/073/030', 'ham') ham
('data/073/031', 'ham') ham
('data/073/032', 'ham') ham
('data/073/033', 'spam') spam
('data/073/034', 'ham') ham
('data/073/035', 'spam') spam
('data/073/036', 'spam') ham
('data/073/037', 'spam') spam
('data/073/038', 'spam') ham
('data/073/039', 'spam') spam
('data/073/040', 'spam') spam
('data/073/041', 'spam') ham
('data/073/042', 'spam') spam
('data/073/043', 'spam') spam
('data/073/044', 'spam') ham
('data/073/045', 'spam') spam
('data/073/046', 'ham') ham
('data/073/047', 'spam') spam
('data/073/048', 'spam') spam
('data/073/049', 'ham') ham
('data/073/050', 'spam') spam
('data/073/051', 'ham') ham
('data/073/052', 'spam') spam
('data/073/053', 'ham') ham
('data/073/054', 'spam') spam
('data/073/055', 'ham') ham
('data/073/056', 'spam') spam
('data/073/057', 'spam') spam
('data/073/058', 'spam') spam
('data/073/059', 'spam') spam
('data/073/060', 'spam') spam
('data/073/061', 'spam') spam
('data/073/062', 'spam') spam
('data/073/063', 'spam') spam
('data/073/064', 'spam') spam
('data/073/065', 'spam') ham
('data/073/066', 'ham') ham
('data/073/067', 'spam') spam
('data/073/068', 'spam') ham
('data/073/069', 'spam') spam
('data/073/070', 'spam') spam
('data/073/071', 'ham') ham
('data/073/072', 'spam') spam
('data/073/073', 'ham') ham
('data/073/074', 'ham') ham
('data/073/075', 'spam') spam
('data/073/076', 'ham') ham
('data/073/077', 'ham') ham
('data/073/078', 'ham') ham
('data/073/079', 'ham') ham
('data/073/080', 'ham') ham
('data/073/081', 'ham') ham
('data/073/082', 'ham') ham
('data/073/083', 'spam') spam
('data/073/084', 'spam') spam
('data/073/085', 'spam') spam
('data/073/086', 'spam') spam
('data/073/087', 'ham') ham
('data/073/088', 'ham') ham
('data/073/089', 'spam') spam
('data/073/090', 'spam') ham
('data/073/091', 'ham') ham
('data/073/092', 'spam') spam
('data/073/093', 'spam') ham
('data/073/094', 'spam') spam
('data/073/095', 'spam') spam
('data/073/096', 'spam') ham
('data/073/097', 'spam') spam
('data/073/098', 'spam') ham
('data/073/099', 'spam') spam
('data/073/100', 'spam') spam
('data/073/101', 'spam') spam
('data/073/102', 'spam') spam
('data/073/103', 'spam') spam
('data/073/104', 'spam') spam
('data/073/105', 'ham') ham
('data/073/106', 'ham') ham
('data/073/107', 'spam') ham
('data/073/108', 'ham') ham
('data/073/109', 'spam') ham
('data/073/110', 'spam') spam
('data/073/111', 'spam') spam
('data/073/112', 'spam') spam
('data/073/113', 'ham') ham
('data/073/114', 'spam') spam
('data/073/115', 'spam') spam
('data/073/116', 'spam') spam
('data/073/117', 'ham') ham
('data/073/118', 'spam') spam
('data/073/119', 'ham') ham
('data/073/120', 'spam') spam
('data/073/121', 'spam') ham
('data/073/122', 'spam') spam
('data/073/123', 'spam') spam
('data/073/124', 'spam') spam
('data/073/125', 'spam') spam
('data/073/126', 'ham') ham
('data/073/127', 'ham') ham
('data/073/128', 'spam') spam
('data/073/129', 'spam') spam
('data/073/130', 'ham') ham
('data/073/131', 'spam') spam
('data/073/132', 'ham') ham
('data/073/133', 'ham') ham
('data/073/134', 'ham') ham
('data/073/135', 'ham') ham
('data/073/136', 'spam') spam
('data/073/137', 'ham') ham
('data/073/138', 'spam') spam
('data/073/139', 'ham') ham
('data/073/140', 'spam') spam
('data/073/141', 'spam') spam
('data/073/142', 'spam') spam
('data/073/143', 'ham') ham
('data/073/144', 'spam') spam
('data/073/145', 'spam') spam
('data/073/146', 'ham') ham
('data/073/147', 'spam') spam
('data/073/148', 'spam') ham
('data/073/149', 'spam') spam
('data/073/150', 'spam') spam
('data/073/151', 'spam') ham
('data/073/152', 'spam') spam
('data/073/153', 'spam') spam
('data/073/154', 'spam') spam
('data/073/155', 'ham') ham
('data/073/156', 'spam') spam
('data/073/157', 'spam') spam
('data/073/158', 'spam') spam
('data/073/159', 'spam') spam
('data/073/160', 'spam') spam
('data/073/161', 'spam') spam
('data/073/162', 'spam') spam
('data/073/163', 'ham') ham
('data/073/164', 'ham') ham
('data/073/165', 'ham') ham
('data/073/166', 'ham') ham
('data/073/167', 'spam') spam
('data/073/168', 'spam') spam
('data/073/169', 'spam') spam
('data/073/170', 'spam') spam
('data/073/171', 'spam') spam
('data/073/172', 'spam') spam
('data/073/173', 'spam') spam
('data/073/174', 'spam') spam
('data/073/175', 'spam') spam
('data/073/176', 'spam') spam
('data/073/177', 'spam') spam
('data/073/178', 'spam') spam
('data/073/179', 'spam') spam
('data/073/180', 'spam') spam
('data/073/181', 'spam') spam
('data/073/182', 'spam') spam
('data/073/183', 'spam') spam
('data/073/184', 'spam') spam
('data/073/185', 'spam') spam
('data/073/186', 'spam') spam
('data/073/187', 'spam') spam
('data/073/188', 'spam') spam
('data/073/189', 'spam') spam
('data/073/190', 'spam') ham
('data/073/191', 'spam') spam
('data/073/192', 'spam') ham
('data/073/193', 'spam') spam
('data/073/194', 'spam') spam
('data/073/195', 'spam') spam
('data/073/196', 'spam') spam
('data/073/197', 'spam') spam
('data/073/198', 'spam') spam
('data/073/199', 'spam') spam
('data/073/200', 'spam') spam
('data/073/201', 'spam') spam
('data/073/202', 'spam') spam
('data/073/203', 'ham') ham
('data/073/204', 'ham') ham
('data/073/205', 'ham') ham
('data/073/206', 'ham') ham
('data/073/207', 'ham') ham
('data/073/208', 'spam') spam
('data/073/209', 'ham') ham
('data/073/210', 'spam') spam
('data/073/211', 'ham') ham
('data/073/212', 'spam') spam
('data/073/213', 'spam') spam
('data/073/214', 'spam') spam
('data/073/215', 'spam') ham
('data/073/216', 'spam') spam
('data/073/217', 'spam') spam
('data/073/218', 'spam') spam
('data/073/219', 'spam') spam
('data/073/220', 'ham') ham
('data/073/221', 'ham') ham
('data/073/222', 'ham') ham
('data/073/223', 'ham') ham
('data/073/224', 'ham') ham
('data/073/225', 'ham') ham
('data/073/226', 'ham') ham
('data/073/227', 'ham') ham
('data/073/228', 'ham') ham
('data/073/229', 'ham') ham
('data/073/230', 'spam') spam
('data/073/231', 'spam') spam
('data/073/232', 'spam') spam
('data/073/233', 'spam') spam
('data/073/234', 'spam') spam
('data/073/235', 'spam') spam
('data/073/236', 'ham') ham
('data/073/237', 'spam') spam
('data/073/238', 'ham') ham
('data/073/239', 'spam') spam
('data/073/240', 'spam') spam
('data/073/241', 'ham') ham
('data/073/242', 'spam') ham
('data/073/243', 'ham') ham
('data/073/244', 'spam') spam
('data/073/245', 'spam') spam
('data/073/246', 'ham') ham
('data/073/247', 'ham') ham
('data/073/248', 'ham') ham
('data/073/249', 'ham') ham
('data/073/250', 'ham') ham
('data/073/251', 'spam') spam
('data/073/252', 'spam') spam
('data/073/253', 'spam') spam
('data/073/254', 'spam') spam
('data/073/255', 'spam') spam
('data/073/256', 'spam') ham
('data/073/257', 'ham') spam
('data/073/258', 'ham') ham
('data/073/259', 'spam') spam
('data/073/260', 'spam') ham
('data/073/261', 'ham') ham
('data/073/262', 'ham') ham
('data/073/263', 'ham') ham
('data/073/264', 'ham') ham
('data/073/265', 'ham') ham
('data/073/266', 'spam') spam
('data/073/267', 'spam') spam
('data/073/268', 'ham') ham
('data/073/269', 'ham') ham
('data/073/270', 'ham') ham
('data/073/271', 'ham') ham
('data/073/272', 'ham') ham
('data/073/273', 'ham') ham
('data/073/274', 'ham') ham
('data/073/275', 'ham') ham
('data/073/276', 'ham') ham
('data/073/277', 'ham') ham
('data/073/278', 'spam') spam
('data/073/279', 'spam') spam
('data/073/280', 'spam') spam
('data/073/281', 'spam') spam
('data/073/282', 'spam') spam
('data/073/283', 'spam') spam
('data/073/284', 'spam') spam
('data/073/285', 'ham') ham
('data/073/286', 'spam') ham
('data/073/287', 'spam') spam
('data/073/288', 'spam') spam
('data/073/289', 'spam') spam
('data/073/290', 'ham') ham
('data/073/291', 'spam') spam
('data/073/292', 'spam') spam
('data/073/293', 'spam') spam
('data/073/294', 'spam') spam
('data/073/295', 'spam') spam
('data/073/296', 'spam') ham
('data/073/297', 'spam') spam
('data/073/298', 'spam') spam
('data/073/299', 'ham') ham
('data/074/000', 'spam') spam
('data/074/001', 'ham') ham
('data/074/002', 'spam') spam
('data/074/003', 'ham') ham
('data/074/004', 'ham') ham
('data/074/005', 'spam') spam
('data/074/006', 'spam') spam
('data/074/007', 'spam') spam
('data/074/008', 'spam') spam
('data/074/009', 'spam') spam
('data/074/010', 'spam') spam
('data/074/011', 'spam') spam
('data/074/012', 'spam') spam
('data/074/013', 'spam') spam
('data/074/014', 'spam') spam
('data/074/015', 'ham') ham
('data/074/016', 'spam') spam
('data/074/017', 'ham') ham
('data/074/018', 'spam') spam
('data/074/019', 'ham') ham
('data/074/020', 'ham') ham
('data/074/021', 'spam') spam
('data/074/022', 'ham') ham
('data/074/023', 'spam') spam
('data/074/024', 'spam') spam
('data/074/025', 'spam') spam
('data/074/026', 'ham') ham
('data/074/027', 'spam') spam
('data/074/028', 'spam') spam
